word	reading	pos	meaning
主要	シュ.ヨウ	a-na,n	chief;main;principal;major
腰	こし	n	back;lower back;waist;hips;lumbar region
腰痛	ヨウ.ツウ	n,a-no	lower back (or hip) pain;lumbago
酒	さけ	n	alcohol;sake
日本酒	ニ.ホン.シュ	n	sake;Japanese rice wine
心配	シン.パイ	a-na,n,vs・n,vs	worry;concern;anxiety・care;help;aid;assistance
配る	くば.る	v5r,vt	to distribute;to hand out;to deliver;to deal out;to serve out
物価	ブッ.カ	n	prices of commodities;prices (in general);cost-of-living
評価	ヒョウ.カ	n・vs	valuation;estimation;assessment;evaluation;rating・to value;to assess;to rate;to estimate value
示す	しめ.す	v5s,vt	to (take out and) show;to demonstrate;to tell;to exemplify;to make apparent
会社	カイ.シャ	n	company;corporation
社長	シャ.チョウ	n	company president;manager;director
社会	シャ.カイ	n	society;public;community;the world
お礼	お.レイ	n	thanks;gratitude
札	ふだ	n	ticket;token;check;receipt
改札	カイ.サツ	n,vs	examination of tickets
近い	ちか.い	a-i	near;close;short (distance)
祈る	いの.る	v5r,vt	to pray;to wish
祈り	いの.り	n,nv	prayer;supplication
折る	お.る	v5r,vt	to break;to fracture;to break off;to snap off;to pick (e.g. flowers)
折れる	お.れる	v1,vi	to break;to be broken;to snap;to fracture
時折	とき.おり	n-adv,nv	sometimes
断る	ことわ.る	v5r,vt	to refuse;to reject;to dismiss;to turn down;to decline・to inform;to give notice;to tell in advance・to ask leave;to excuse oneself (from)
継続	ケイ.ゾク	n,vs,a-no	continuation
中継	チュウ.ケイ	n,vs,a-no・n,vs	relay;hook-up・relay broadcasting
継ぐ	つ.ぐ	v5g,vt	to succeed (a person, to a position, etc.);to inherit;to take over;to follow
戸	と	n	door (esp. Japanese-style)
近所	キン.ジョ	n,a-no	neighborhood
所	ところ	n	place;spot;scene;site・whereupon;as a result
羊毛	ヨウ.モウ	n,a-no	wool
羊	ひつじ	n	sheep (Ovis aries)
西洋	セイ.ヨウ	n,a-no	the west;Western countries
東洋	トウ.ヨウ	n,a-no	Orient
海洋	カイ.ヨウ	n,a-no	ocean
遅い	おそ.い	a-i	slow;time-consuming;sluggish
遅れる	おく.れる	v1,vi	to be late;to be delayed;to fall behind schedule;to be overdue
美しい	うつく.しい	a-i	beautiful;lovely
美人	ビ.ジン	n	beautiful woman
南	みなみ	n	south
南米	ナン.ベイ	n	South America
両方	リョウ.ホウ	n,a-no	both;both sides;both parties
満足	マン.ゾク	a-na,n,vs・a-na,n	satisfaction;contentment;complacency・sufficient;enough;adequate;proper
不満	フ.マン	a-na,n	dissatisfaction;displeasure;discontent;complaints;unhappiness;disgruntled
満ちる	み.ちる	v1,vi	to be full
正直	ショウ.ジキ	a-na,n・adv	honest;frank;candid;straightforward・honestly;frankly
直ちに	ただ.ちに	adv	at once;immediately;directly;in person;automatically
植える	う.える	v1,vt	to plant;to grow;to raise
植物	ショク.ブツ	n	plant;vegetation
田植え	た.う.え	n	rice planting
置く	お.く	v5k,vt・v5k,aux-v	to put;to place・to do something in advance
位置	イ.チ	n,vs	place;situation;position;location
速い	はや.い	a-i	fast;quick;hasty
究める	きわ.める	v1,vt	to investigate thoroughly;to master
本	ホン	n・ctr	book;volume;script・counter for long cylindrical things;counter for films, TV shows, etc.;counter for goals, home runs, etc.;counter for telephone calls
退く	しりぞ.く・*ど.く	v5k,vi	to step back;to move back;to retreat・to withdraw (from the presence of a superior);to leave;to exit
否	いや	exp	no;nay・well;er;why
直す	なお.す	v5s,vt・v5s,aux-v	to fix;to correct;to repair・to do over again
直る	なお.る	v5r,vi	to get mended;to be repaired;to be fixed
