92	少し	すこし		少[すこ]し	small quantity	little, few, something
93	少ない	すくない		少[すく]ない	few	a little, scarce, insufficient, seldom
94	大切	タイセツ		大[タイ]切[セツ]	important	necessary, indispensable
95	大きい	おおきい		大[おお]きい	big	large, great
96	大きな	おおきな		大[おお]きな	big	large, great
97	大分	ダイブ		大[ダイ]分[ブ]	considerably	greatly, a lot
98	大体	ダイタイ		大[ダイ]体[タイ]	outline	main point, gist, general, substantially, approximately, about
99	犬	いぬ		犬[いぬ]	dog (Canis (lupus) familiaris)	counterfeit, inferior, useless, wasteful
100	太い	ふとい		太[ふと]い	fat	thick
101	太る	ふとる		太[ふと]る	to grow fat (stout	plump), to become fat, to gain weight
102	天下り	あまくだり		天[あま]下[くだ]り	retiring high-ranking government officials taking a lucrative job in a private or semi-private corporation	
103	川	かわ		川[かわ]	river	stream, River, the ... river
104	小川	おがわ		小[お]川[がわ]	stream	brook, creek
105	州	シュウ		州[シュウ]	state	province, county, oblast, department (of ancient China), dear
106	九州	キュウシュウ		九[キュウ]州[シュウ]	Kyushu (southernmost of the four main islands of Japan)	
107	水	みず		水[みず]	water (esp. cool	fresh water, e.g. drinking water)
108	氷	こおり		氷[こおり]	ice	
109	子	こ		子[こ]	child	player who is not a dealer (in cards, mahjong, etc.), bird egg
110	字	あざ		字[あざ]	section of village	
111	大学	ダイガク		大[ダイ]学[ガク]	university	college
112	入学	ニュウガク		入[ニュウ]学[ガク]	entry to school or university	matriculation, enrollment (in university, etc.)
113	学ぶ	まなぶ		学[まな]ぶ	to study (in depth)	to learn, to take lessons in
114	女	おんな		女[おんな]	female	woman, female sex, female lover, girlfriend, mistress, (someone's) woman
115	女の子	おんなのこ		女[おんな]の子[こ]	girl	daughter
116	女子	ジョシ		女[ジョ]子[シ]	woman	girl
117	少女	ショウジョ		少[ショウ]女[ジョ]	little girl	maiden, young lady, female usually between 7 and 18 years old
118	安い	やすい		安[やす]い	cheap	inexpensive
119	目安	めやす		目[め]安[やす]	criterion	standard, yardstick, reference, aim
120	好き	すき		好[す]き	liked	well-liked, favorite
121	大好き	ダイすき		大[ダイ]好[す]き	like very much	loveable
122	好み	このみ		好[この]み	liking	taste, choice
123	水田	スイデン		水[スイ]田[デン]	(water-filled) paddy field	
124	男	おとこ		男[おとこ]	man	male, fellow, guy, chap, bloke
125	男子	ダンシ		男[ダン]子[シ]	youth	young man
126	お父さん	おとうさん		お父[とう]さん	father	dad, papa, pa, pop, daddy, dada
127	交わす	かわす		交[か]わす	to exchange (messages	greetings, arguments, etc.), ... with one another, ... to each other
128	学校	ガッコウ		学[ガッ]校[コウ]	school	
129	小学校	ショウガッコウ		小[ショウ]学[ガッ]校[コウ]	primary school	elementary school, grade school
130	中学校	チュウガッコウ		中[チュウ]学[ガッ]校[コウ]	junior high school	middle school, lower secondary school
131	効力	コウリョク		効[コウ]力[リョク]	effect	efficacy, validity, potency
132	効く	きく		効[き]く	to be effective	to show effect
133	百	ヒャク		百[ヒャク]	100	hundred
134	千	セン		千[セン]	thousand	1,000
135	千切る	ちぎる		千[ち]切[ぎ]る	to tear to pieces	to tear to shreds, to tear up, to do ... heavily, to do ... heartily, to do ... vigorously
136	万一	マンイチ		万[マン]一[イチ]	emergency	unlikely event, by some chance, by some possibility
